Uth abgelesen [mV]	 Sättigungstemperatur an der Probe [°C] 
 0.04    	 17.75    
 0.08    	 19.02    
 0.13    	 20.30    
 0.17    	 21.57    
 0.21    	 22.84    
 0.25    	 24.11    
 0.29    	 25.39    
 0.34    	 26.66    
 0.38    	 27.93    
 0.42    	 29.20    
 0.46    	 30.48    
 0.50    	 31.75    
 0.55    	 33.02    
 0.59    	 34.30    
 0.63    	 35.57    
 0.67    	 36.84    
 0.71    	 38.11    
 0.75    	 39.39    
 0.80    	 40.66    
 0.84    	 41.93    
 0.88    	 43.20    
 0.92    	 44.48    
 0.96    	 45.75    
 1.01    	 47.02    
 1.05    	 48.30    
 1.09    	 49.57    
 1.13    	 50.84    
 1.17    	 52.11    
 1.22    	 53.39    
 1.26    	 54.66    
 1.30    	 55.93    
 1.34    	 57.20    
 1.38    	 58.48    
 1.43    	 59.75    
 1.47    	 61.02    
 1.51    	 62.29    
 1.55    	 63.57    
 1.59    	 64.84    
 1.64    	 66.11    
 1.68    	 67.39    
 1.72    	 68.66    
 1.76    	 69.93    
 1.80    	 71.20    
 1.84    	 72.48    
 1.89    	 73.75    
 1.93    	 75.02    
 1.97    	 76.29    
 2.01    	 77.57    
 2.05    	 78.84    
 2.10    	 80.11    
 2.14    	 81.39    
 2.18    	 82.66    
 2.22    	 83.93    
 2.26    	 85.20    
 2.31    	 86.48    
 2.35    	 87.75    
 2.39    	 89.02    
 2.43    	 90.29    
 2.47    	 91.57    
 2.52    	 92.84    
 2.56    	 94.11    
 2.60    	 95.39    
 2.64    	 96.66    
 2.68    	 97.93    
 2.73    	 99.20    
 2.77    	 100.48    
 2.81    	 101.75    
 2.85    	 103.02    
 2.89    	 104.29    
 2.93    	 105.57    
 2.98    	 106.84    
 3.02    	 108.11    
 3.06    	 109.38    
 3.10    	 110.66    
 3.14    	 111.93    
 3.19    	 113.20    
 3.23    	 114.48    
 3.27    	 115.75    
 3.31    	 117.02    
 3.35    	 118.29    
 3.40    	 119.57    
 3.44    	 120.84    
 3.48    	 122.11    
 3.52    	 123.38    
 3.56    	 124.66    
 3.61    	 125.93    
 3.65    	 127.20    
 3.69    	 128.48    
 3.73    	 129.75    
 3.77    	 131.02    
 3.82    	 132.29    
 3.86    	 133.57    
 3.90    	 134.84    
 3.94    	 136.11    
 3.98    	 137.38    
 4.02    	 138.66    
 4.07    	 139.93    
 4.11    	 141.20    
 4.15    	 142.47    
 4.19    	 143.75    
 4.23    	 145.02    
 4.28    	 146.29    
 4.32    	 147.57    
 4.36    	 148.84    
 4.40    	 150.11    
 4.44    	 151.38    
 4.49    	 152.66    
	
 4.53    	 153.93    
 4.57    	 155.20    
 4.61    	 156.47    
 4.65    	 157.75    
 4.70    	 159.02    
 4.74    	 160.29    
 4.78    	 161.57    
 4.82    	 162.84    
 4.86    	 164.11    
 4.91    	 165.38    
 4.95    	 166.66    
 4.99    	 167.93    
 5.03    	 169.20    
 5.07    	 170.47    
 5.11    	 171.75    
 5.16    	 173.02    
 5.20    	 174.29    
 5.24    	 175.56    
 5.28    	 176.84    
 5.32    	 178.11    
 5.37    	 179.38    
 5.41    	 180.66    
 5.45    	 181.93    
 5.49    	 183.20    
 5.53    	 184.47    
 5.58    	 185.75    
 5.62    	 187.02    
 5.66    	 188.29    
 5.70    	 189.56    
 5.74    	 190.84    
 5.79    	 192.11    
 5.83    	 193.38    
 5.87    	 194.66    
 5.91    	 195.93    
 5.95    	 197.20    
 6.00    	 198.47    
 6.04    	 199.75    
 6.08    	 201.02    
 6.12    	 202.29    
 6.16    	 203.56    
 6.20    	 204.84    
 6.25    	 206.11    
 6.29    	 207.38    
 6.33    	 208.65    
 6.37    	 209.93    
 6.41    	 211.20    
 6.46    	 212.47    
 6.50    	 213.75    
 6.54    	 215.02    
 6.58    	 216.29    
 6.62    	 217.56    
 6.67    	 218.84    
 6.71    	 220.11    
 6.75    	 221.38    
 6.79    	 222.65    
 6.83    	 223.93    
 6.88    	 225.20    
 6.92    	 226.47    
 6.96    	 227.75    
 7.00    	 229.02    
 7.04    	 230.29    
 7.09    	 231.56    
 7.13    	 232.84    
 7.17    	 234.11    
 7.21    	 235.38    
 7.25    	 236.65    
 7.29    	 237.93    
 7.34    	 239.20    
 7.38    	 240.47    
 7.42    	 241.75    
 7.46    	 243.02    
 7.50    	 244.29    
 7.55    	 245.56    
 7.59    	 246.84    
 7.63    	 248.11    
 7.67    	 249.38    
 7.71    	 250.65    
 7.76    	 251.93    
 7.80    	 253.20    
 7.84    	 254.47    
 7.88    	 255.74    
 7.92    	 257.02    
 7.97    	 258.29    
 8.01    	 259.56    
 8.05    	 260.84    
 8.09    	 262.11    
 8.13    	 263.38    
 8.18    	 264.65    
 8.22    	 265.93    
 8.26    	 267.20    
 8.30    	 268.47    
 8.34    	 269.74    
 8.38    	 271.02    
 8.43    	 272.29    
 8.47    	 273.56    
 8.51    	 274.84    
 8.55    	 276.11    
 8.59    	 277.38    
 8.64    	 278.65    
 8.68    	 279.93    
 8.72    	 281.20    
 8.76    	 282.47    
 8.80    	 283.74    
 8.85    	 285.02    
 8.89    	 286.29    
 8.93    	 287.56    
 8.97    	 288.83    
 9.01    	 290.11    
 9.06    	 291.38    
 9.10    	 292.65    
 9.14    	 293.93    
 9.18    	 295.20    
 9.22    	 296.47    
 9.27    	 297.74    
 9.31    	 299.02    
 9.35    	 300.29    
 9.39    	 301.56    
 9.43    	 302.83    
 9.47    	 304.11    
 9.52    	 305.38    
 9.56    	 306.65    
 9.60    	 307.93    
 9.64    	 309.20    
 9.68    	 310.47    
 9.73    	 311.74    
 9.77    	 313.02    
 9.81    	 314.29    
 9.85    	 315.56    
 9.89    	 316.83    
 9.94    	 318.11    
 9.98    	 319.38    
 10.02    	 320.65    
 10.06    	 321.92    
 10.10    	 323.20    
 10.15    	 324.47    
 10.19    	 325.74    
 10.23    	 327.02    
 10.27    	 328.29    
 10.31    	 329.56    
 10.36    	 330.83    
 10.40    	 332.11    
 10.44    	 333.38    
 10.48    	 334.65    
 10.52    	 335.92    
 10.56    	 337.20    
 10.61    	 338.47    
 10.65    	 339.74    
 10.69    	 341.02    
 10.73    	 342.29    
 10.77    	 343.56    
 10.82    	 344.83    
 10.86    	 346.11    
 10.90    	 347.38    
 10.94    	 348.65    
 10.98    	 349.92    
 11.03    	 351.20    
 11.07    	 352.47    
 11.11    	 353.74    
 11.15    	 355.02    
 11.19    	 356.29    
 11.24    	 357.56    
 11.28    	 358.83    
 11.32    	 360.11    
 11.36    	 361.38    
 11.40    	 362.65    
 11.45    	 363.92    
 11.49    	 365.20    
 11.53    	 366.47    
 11.57    	 367.74    
 11.61    	 369.01    
 11.65    	 370.29    
 11.70    	 371.56    
 11.74    	 372.83    
 11.78    	 374.11    
 11.82    	 375.38    
 11.86    	 376.65    
 11.91    	 377.92    
 11.95    	 379.20    
 11.99    	 380.47    
 12.03    	 381.74    
 12.07    	 383.01    
 12.12    	 384.29    
 12.16    	 385.56    
 12.20    	 386.83    
 12.24    	 388.11    
 12.28    	 389.38    
 12.33    	 390.65    
 12.37    	 391.92    
 12.41    	 393.20    
 12.45    	 394.47    
 12.49    	 395.74    
 12.54    	 397.01    
 12.58    	 398.29    
 12.62    	 399.56    
 12.66    	 400.83    
 12.70    	 402.10    
 12.74    	 403.38    
 12.79    	 404.65    
 12.83    	 405.92    
 12.87    	 407.20    
 12.91    	 408.47    
 12.95    	 409.74    
 13.00    	 411.01    
 13.04    	 412.29    
 13.08    	 413.56    
 13.12    	 414.83    
 13.16    	 416.10    
 13.21    	 417.38    
 13.25    	 418.65    
 13.29    	 419.92    
 13.33    	 421.20    
 13.37    	 422.47    
 13.42    	 423.74    
 13.46    	 425.01    
 13.50    	 426.29    
 13.54    	 427.56    
 13.58    	 428.83    
 13.63    	 430.10    
 13.67    	 431.38    
 13.71    	 432.65    
 13.75    	 433.92    
 13.79    	 435.19    
 13.83    	 436.47    
 13.88    	 437.74    
 13.92    	 439.01    
 13.96    	 440.29    
 14.00    	 441.56    
 14.04    	 442.83    
 14.09    	 444.10    
 14.13    	 445.38    
 14.17    	 446.65    
 14.21    	 447.92    
 14.25    	 449.19    
 14.30    	 450.47    
 14.34    	 451.74    
 14.38    	 453.01    
 14.42    	 454.29    
 14.46    	 455.56    
 14.51    	 456.83    
 14.55    	 458.10    
 14.59    	 459.38    
 14.63    	 460.65    
 14.67    	 461.92    
 14.72    	 463.19    
 14.76    	 464.47    
 14.80    	 465.74    
 14.84    	 467.01    
 14.88    	 468.29    
 14.92    	 469.56    
 14.97    	 470.83    
 15.01    	 472.10    
 15.05    	 473.38    
 15.09    	 474.65    
 15.13    	 475.92    
 15.18    	 477.19    
 15.22    	 478.47    
 15.26    	 479.74    
 15.30    	 481.01    
 15.34    	 482.28    
 15.39    	 483.56    
 15.43    	 484.83    
 15.47    	 486.10    
 15.51    	 487.38    
 15.55    	 488.65    
 15.60    	 489.92    
 15.64    	 491.19    
 15.68    	 492.47    
 15.72    	 493.74    
 15.76    	 495.01    
 15.81    	 496.28    
 15.85    	 497.56    
 15.89    	 498.83    
 15.93    	 500.10    
 15.97    	 501.38    
 16.01    	 502.65    
 16.06    	 503.92    
 16.10    	 505.19    
 16.14    	 506.47    
 16.18    	 507.74    
 16.22    	 509.01    
 16.27    	 510.28    
 16.31    	 511.56    
 16.35    	 512.83    
 16.39    	 514.10    
 16.43    	 515.37    
 16.48    	 516.65    
 16.52    	 517.92    
 16.56    	 519.19    
 16.60    	 520.47    
 16.64    	 521.74    
 16.69    	 523.01    
 16.73    	 524.28    
 16.77    	 525.56    
 16.81    	 526.83    
 16.85    	 528.10    
 16.90    	 529.37    
 16.94    	 530.65    
 16.98    	 531.92    
 17.02    	 533.19    
 17.06    	 534.47    
 17.10    	 535.74    
 17.15    	 537.01    
 17.19    	 538.28    
 17.23    	 539.56    
 17.27    	 540.83    
 17.31    	 542.10    
 17.36    	 543.37    
 17.40    	 544.65    
 17.44    	 545.92    
 17.48    	 547.19    
 17.52    	 548.46    
 17.57    	 549.74    
 17.61    	 551.01    
 17.65    	 552.28    
 17.69    	 553.56    
 17.73    	 554.83    
 17.78    	 556.10    
 17.82    	 557.37    
 17.86    	 558.65    
 17.90    	 559.92    
 17.94    	 561.19    
 17.99    	 562.46    
 18.03    	 563.74    
 18.07    	 565.01    
 18.11    	 566.28    
 18.15    	 567.56    
 18.19    	 568.83    
 18.24    	 570.10    
 18.28    	 571.37    
 18.32    	 572.65    
 18.36    	 573.92    
 18.40    	 575.19    
 18.45    	 576.46    
 18.49    	 577.74    
 18.53    	 579.01    
 18.57    	 580.28    
 18.61    	 581.56    
 18.66    	 582.83    
 18.70    	 584.10    
 18.74    	 585.37    
 18.78    	 586.65    
 18.82    	 587.92    
 18.87    	 589.19    
 18.91    	 590.46    
 18.95    	 591.74    
 18.99    	 593.01    
 19.03    	 594.28    
 19.08    	 595.55    
 19.12    	 596.83    
 19.16    	 598.10    
 19.20    	 599.37    
 19.24    	 600.65    
 19.28    	 601.92    
 19.33    	 603.19    
 19.37    	 604.46    
 19.41    	 605.74    
 19.45    	 607.01    
 19.49    	 608.28    
 19.54    	 609.55    
 19.58    	 610.83    
 19.62    	 612.10    
 19.66    	 613.37    
 19.70    	 614.65    
 19.75    	 615.92    
 19.79    	 617.19    
 19.83    	 618.46    
 19.87    	 619.74    
 19.91    	 621.01    
 19.96    	 622.28    
 20.00    	 623.55    
 20.04    	 624.83    
 20.08    	 626.10    
 20.12    	 627.37    
 20.17    	 628.64    
 20.21    	 629.92    
 20.25    	 631.19    
 20.29    	 632.46    
 20.33    	 633.74    
 20.37    	 635.01    
 20.42    	 636.28    
 20.46    	 637.55    
 20.50    	 638.83    
 20.54    	 640.10    
 20.58    	 641.37    
 20.63    	 642.64    
 20.67    	 643.92    
 20.71    	 645.19    
 20.75    	 646.46    
 20.79    	 647.74    
 20.84    	 649.01    
 20.88    	 650.28    
 20.92    	 651.55    
